"spkid","full_name","name","diameter","e","a","q","i","om","w","ma","albedo","n","epoch"
3742053,"       (2016 CV30)",,,0.4872,2.331,1.195,34.57,139.00,5.38,156.10,,0.2769,2460600.5
3742052,"       (2016 CW30)",,,0.4553,1.472,0.802,1.00,6.97,202.94,283.48,,0.5516,2460600.5
3742050,"       (2016 CX30)",,,0.4825,2.064,1.068,2.84,271.12,272.70,321.14,,0.3323,2460600.5
3742051,"       (2016 CY30)",,,0.6014,2.17,0.865,5.35,151.96,54.66,344.03,,0.3084,2457426.5
3742054,"       (2016 CZ30)",,,0.2108,1.077,0.850,20.65,317.31,96.46,343.22,,0.8824,2460600.5
3742055,"       (2016 CB31)",,0.070,0.4605,1.769,0.955,1.23,90.71,96.48,233.70,0.037,0.4188,2460600.5
3742056,"       (2016 CD31)",,,0.4544,1.044,0.570,0.46,240.50,12.70,349.65,,0.9235,2460600.5
3742057,"       (2016 CE31)",,,0.2509,1.037,0.777,2.73,120.84,277.60,149.72,,0.9329,2460600.5
3742059,"       (2016 CF31)",,,0.4787,1.085,0.566,15.16,146.65,211.18,344.02,,0.8719,2460600.5
3742060,"       (2016 CJ31)",,,0.5764,1.958,0.830,4.62,132.12,300.92,15.35,,0.3596,2457421.5
3742061,"       (2016 CK31)",,,0.2885,1.317,0.937,6.86,139.61,41.78,247.10,,0.652,2460600.5
3742062,"       (2016 CN31)",,,0.5826,1.878,0.784,0.48,104.60,321.45,155.09,,0.3829,2460600.5
3742124,"       (2016 CW31)",,,0.3100,1.567,1.081,17.83,324.00,235.59,115.43,,0.5025,2460600.5
3742123,"       (2016 CX31)",,,0.2086,1.617,1.279,34.71,311.29,212.77,65.89,,0.4795,2460600.5
3742125,"       (2016 CY31)",,,0.4386,1.966,1.104,4.84,164.60,14.06,40.76,,0.3575,2460600.5
3742128,"       (2016 CZ31)",,,0.4883,1.439,0.736,14.58,309.53,76.06,72.75,,0.5713,2460600.5
3742127,"       (2016 CA32)",,,0.7458,2.503,0.636,19.75,100.98,327.61,84.66,,0.2488,2460600.5
3742126,"       (2016 CB32)",,,0.5997,2.946,1.179,2.63,174.90,245.21,281.94,,0.1949,2460600.5
3742135,"       (2016 CC32)",,,0.4994,2.475,1.239,9.85,35.18,138.62,67.73,,0.2531,2460600.5
3742129,"       (2016 CD32)",,,0.3483,1.944,1.267,18.61,127.05,351.28,83.94,,0.3636,2460600.5
3742130,"       (2016 CE32)",,,0.3599,1.186,0.759,5.14,11.45,223.43,304.93,,0.7629,2457427.5
3742131,"       (2016 CF32)",,,0.2572,1.489,1.106,4.86,31.93,93.79,288.67,,0.5423,2460600.5
3742132,"       (2016 CH32)",,,0.1777,1.39,1.143,23.00,320.88,176.76,2.22,,0.6016,2457428.5
3742134,"       (2016 CJ32)",,,0.2696,1.467,1.071,16.11,141.53,317.73,343.05,,0.5549,2460600.5
3742333,"       (2016 CY135)",,,0.3535,1.475,0.954,1.10,173.48,26.59,273.38,,0.55,2460600.5
3742335,"       (2016 CZ135)",,,0.4159,1.252,0.731,8.21,164.24,138.54,295.80,,0.7034,2460600.5
3742337,"       (2016 CB136)",,,0.4967,2.237,1.126,21.50,48.16,332.94,272.37,,0.2947,2460600.5
3742338,"       (2016 CC136)",,,0.0918,0.9082,0.825,12.06,319.74,356.19,197.20,,1.139,2460600.5
3742339,"       (2016 CD136)",,,0.6302,2.469,0.913,0.82,187.69,258.36,9.86,,0.254,2457424.5
3742340,"       (2016 CJ136)",,,0.3796,1.067,0.662,28.90,127.21,160.94,196.40,,0.8941,2460600.5
3742341,"       (2016 CK136)",,,0.2946,1.75,1.234,7.69,128.51,41.66,254.05,,0.4257,2460600.5
3742342,"       (2016 CL136)",,0.123,0.6222,0.7297,0.276,21.53,316.42,23.53,80.21,0.320,1.581,2460600.5
3742873,"       (2016 CB137)",,,0.2419,1.57,1.190,18.23,319.84,248.96,110.46,,0.5012,2460600.5
3742880,"       (2016 CC137)",,,0.2612,1.471,1.087,43.22,139.61,3.45,358.25,,0.5524,2457427.5
3742875,"       (2016 CD137)",,,0.2336,1.083,0.830,4.55,137.89,94.43,190.29,,0.8747,2460600.5
